               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.056549,            0.028347,                   0,             0.68722,             0.59608,             0.61084,             0.18927,            0.061747,            0.023974,                   0,            0.005743,            0.005743,            0.005743
                  88,              0.0566,            0.026232,                   0,             0.70873,             0.60392,             0.64368,             0.20246,            0.059949,            0.024195,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.05603,            0.027389,                   0,             0.69831,             0.64448,             0.67987,             0.22242,              0.0615,             0.02361,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.057818,            0.025966,                   0,              0.7159,             0.62745,             0.67087,             0.22249,            0.061421,            0.023507,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.057124,            0.027502,                   0,              0.6519,             0.63529,             0.64438,             0.20867,            0.061809,            0.023503,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.056425,             0.02688,                   0,             0.73826,             0.56863,             0.65628,             0.21797,            0.062013,            0.023472,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.057221,            0.025676,                   0,             0.73539,             0.62353,             0.69829,              0.2185,            0.061016,            0.023506,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.055381,            0.025491,                   0,              0.6397,             0.63529,             0.61346,             0.19591,            0.063776,            0.024788,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.053876,            0.024922,                   0,             0.68176,             0.67059,             0.66817,             0.21609,            0.062626,            0.023134,                   0,            0.005347,            0.005347,            0.005347
                  96,             0.05508,            0.026825,                   0,             0.69491,             0.62353,             0.65233,             0.20301,            0.065202,            0.023189,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.056603,            0.026082,                   0,             0.72401,             0.62353,               0.653,             0.21101,            0.063398,             0.02355,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.056211,            0.026207,                   0,             0.70305,             0.62745,             0.64934,             0.21109,            0.062904,            0.023631,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.055111,            0.026433,                   0,             0.73339,             0.60411,             0.65444,             0.21324,            0.063138,            0.023417,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.055209,            0.025164,                   0,             0.67417,             0.61176,             0.61728,             0.19711,            0.063702,            0.023265,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.053638,            0.026014,                   0,             0.66141,             0.67059,             0.65475,             0.21131,            0.062691,            0.023527,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.052661,            0.026284,                   0,             0.76293,             0.59317,             0.66964,             0.20471,            0.064283,            0.023715,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.054725,            0.025673,                   0,             0.69299,             0.65882,             0.67035,             0.20526,            0.063461,            0.023477,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.052925,            0.025629,                   0,             0.76236,             0.60784,             0.67486,             0.21828,            0.062704,            0.023226,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.052782,            0.025742,                   0,              0.6817,             0.61176,             0.65184,             0.21044,            0.061869,            0.023859,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.052789,            0.026292,                   0,             0.71043,             0.62538,             0.66114,             0.20737,            0.062888,            0.023616,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.054746,            0.024969,                   0,             0.69495,             0.61176,               0.643,             0.19885,            0.062013,            0.023779,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.051699,             0.02663,                   0,             0.68798,                 0.6,             0.63801,             0.20636,            0.064288,            0.023713,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.054528,            0.026862,                   0,             0.68449,             0.62745,             0.65639,             0.21549,            0.062732,            0.023709,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.054154,            0.025887,                   0,             0.69827,             0.62353,             0.67546,             0.21986,            0.062694,            0.023741,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.053579,            0.026508,                   0,             0.63554,             0.62353,             0.60192,             0.20818,            0.061701,            0.023845,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.052127,            0.026971,                   0,             0.68642,              0.6549,             0.66812,             0.22142,            0.061927,            0.023558,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.052815,            0.025573,                   0,             0.78165,             0.58824,             0.67783,               0.223,            0.063269,            0.023596,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.056125,            0.025528,                   0,             0.80214,             0.58824,             0.69928,             0.23161,            0.061423,            0.023512,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.054178,            0.025252,                   0,             0.79226,             0.62353,             0.70883,             0.22352,            0.061942,              0.0237,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.051798,            0.026727,                   0,             0.74433,             0.64314,             0.69642,             0.23236,            0.061153,            0.023322,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.052167,            0.025736,                   0,             0.73965,             0.64706,               0.703,             0.23037,            0.059735,            0.023195,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.05187,            0.025514,                   0,             0.70531,             0.65702,             0.68876,             0.22331,            0.064159,            0.023299,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.053029,            0.025199,                   0,              0.7243,             0.64706,             0.68814,             0.21971,            0.063641,            0.023944,                   0,            0.004159,            0.004159,            0.004159
                 120,             0.05587,             0.02694,                   0,             0.71001,             0.63922,             0.67132,             0.21216,            0.061838,            0.024045,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.052771,            0.024756,                   0,             0.75447,             0.65098,             0.65078,             0.21273,            0.060691,            0.023712,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.053879,            0.025458,                   0,             0.70253,             0.63922,              0.6756,             0.21854,            0.062868,            0.023256,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.052544,            0.025867,                   0,             0.73958,             0.63482,             0.67566,             0.21978,            0.060442,            0.023634,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.050223,             0.02602,                   0,              0.6635,             0.62353,             0.63441,             0.21218,            0.062546,            0.023449,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.051954,            0.024683,                   0,              0.7266,             0.60448,             0.67989,             0.22754,            0.060434,            0.024128,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.050638,            0.025562,                   0,             0.70801,             0.66667,             0.70734,             0.23851,            0.060198,            0.023194,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.050506,            0.024861,                   0,             0.75382,             0.63529,             0.68175,             0.22551,            0.061964,            0.023455,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.051798,            0.025414,                   0,             0.74246,             0.61569,             0.68035,             0.23214,            0.060482,            0.023086,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.050948,            0.024306,                   0,             0.74493,             0.61176,              0.6749,             0.22797,            0.059699,            0.023076,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.051015,            0.023886,                   0,             0.68628,             0.66056,             0.67974,             0.23142,            0.060276,            0.023008,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.051006,            0.025522,                   0,              0.7654,             0.65251,             0.71451,             0.23481,            0.060878,            0.022943,                   0,            0.003565,            0.003565,            0.003565
                 132,              0.0504,            0.025993,                   0,             0.75571,             0.65508,             0.69932,             0.23141,            0.060961,             0.02295,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,             0.05099,            0.024727,                   0,             0.71659,             0.67427,             0.67788,             0.21914,            0.061623,             0.02275,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.049522,            0.025405,                   0,                0.73,             0.68235,             0.70359,              0.2276,            0.060933,            0.022941,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.050603,            0.025125,                   0,             0.69918,             0.68361,             0.67243,             0.22077,            0.061797,            0.023155,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.051329,            0.025816,                   0,             0.71371,             0.67059,             0.67031,             0.21543,            0.062372,            0.022974,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.051396,            0.026537,                   0,             0.69704,             0.67671,              0.6764,             0.20718,            0.062377,            0.023263,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.048147,            0.024096,                   0,             0.69672,             0.66275,             0.67443,             0.21738,             0.06025,            0.023714,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.049777,            0.025281,                   0,              0.7662,             0.61961,             0.67324,             0.21784,            0.060804,            0.023577,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.051102,            0.025008,                   0,             0.71146,             0.65753,             0.67702,             0.21711,            0.062171,            0.024198,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.051225,            0.025903,                   0,             0.73135,             0.65123,             0.67864,             0.22518,            0.062493,            0.023577,                   0,             0.00307,             0.00307,             0.00307
                 142,             0.05081,             0.02632,                   0,             0.76724,             0.61569,             0.69548,             0.23066,             0.06091,            0.023113,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.049703,            0.024068,                   0,             0.69039,             0.65098,             0.66725,             0.22431,            0.060059,            0.023387,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.048156,            0.023787,                   0,             0.69721,             0.62353,             0.64499,             0.20771,            0.060553,            0.023339,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,             0.04848,            0.024897,                   0,             0.69693,             0.64706,             0.65427,             0.21513,            0.061598,            0.023467,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.047977,            0.025081,                   0,             0.69363,             0.61569,             0.65305,             0.22205,            0.059938,            0.023563,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.050362,            0.025146,                   0,             0.71098,             0.66566,             0.68594,             0.21947,            0.060628,            0.024113,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.049059,            0.023642,                   0,              0.7407,             0.65882,             0.69956,             0.23151,            0.059647,            0.023498,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.048338,            0.025323,                   0,             0.67616,             0.66667,             0.65628,             0.21517,            0.059812,            0.024319,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.04863,            0.024786,                   0,             0.74802,             0.67451,             0.70821,             0.23565,            0.058644,            0.023228,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.051754,            0.024749,                   0,             0.75535,             0.66275,             0.70009,               0.238,            0.060582,            0.023075,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.048522,            0.024757,                   0,             0.75422,             0.66189,             0.69282,             0.23724,             0.05878,            0.022949,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.048817,            0.024719,                   0,             0.72075,              0.6549,             0.69791,             0.23081,            0.058805,             0.02297,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.049293,             0.02471,                   0,             0.73922,             0.64314,             0.68302,             0.23125,            0.059113,            0.022922,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.049362,            0.024062,                   0,             0.72076,             0.67059,             0.69361,             0.22709,            0.059808,            0.022958,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.049908,            0.023592,                   0,             0.66866,              0.6806,             0.67193,              0.2188,            0.060483,            0.023404,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.048723,            0.025126,                   0,             0.68689,             0.67843,             0.68874,             0.22859,            0.059604,            0.023252,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.048296,            0.024907,                   0,             0.79964,             0.60392,             0.69781,             0.23329,            0.058389,             0.02309,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.049606,            0.025566,                   0,             0.72266,             0.68627,             0.71759,             0.23995,            0.061637,            0.023102,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.047802,            0.025394,                   0,             0.78413,             0.62745,             0.70046,             0.24259,            0.059721,            0.023449,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.047407,            0.025226,                   0,             0.73291,             0.66719,              0.6998,             0.24308,             0.06045,            0.023602,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.047847,            0.023164,                   0,             0.70959,             0.66667,             0.69328,             0.24297,            0.059632,            0.023464,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.046435,             0.02393,                   0,              0.6881,             0.66275,             0.67475,             0.24004,            0.059625,             0.02362,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.048885,            0.024756,                   0,             0.73494,             0.67843,             0.70601,             0.23997,            0.059788,            0.023179,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.048668,            0.025438,                   0,             0.73862,             0.68627,             0.71401,             0.24329,            0.058862,            0.023063,                   0,            0.001882,            0.001882,            0.001882
                 166,             0.04631,            0.024084,                   0,             0.74965,             0.67451,             0.70937,             0.23679,            0.057397,            0.022936,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.047282,            0.025599,                   0,             0.73707,              0.6902,             0.71352,             0.24253,            0.058125,            0.022972,                   0,            0.001783,            0.001783,            0.001783
