                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.6983,                0.94757,                 1.0591,                0.79852,                0.68627,                0.77441,                0.31733,                 2.0285,                 1.0305,                 1.1149,               0.001189,               0.001189,               0.001189
                     91,                 1.6905,                0.91812,                 1.0473,                0.74673,                0.70528,                0.76665,                 0.3101,                 2.0352,                 1.0074,                 1.1228,                0.00109,                0.00109,                0.00109
                     92,                 1.6664,                0.89723,                 1.0451,                0.74681,                0.71765,                0.77499,                0.31295,                 2.0335,                 1.0153,                 1.1213,               0.000991,               0.000991,               0.000991
                     93,                 1.6622,                0.89471,                 1.0492,                0.76371,                0.68235,                0.76444,                0.30748,                 2.0418,                 1.0121,                 1.1234,               0.000892,               0.000892,               0.000892
                     94,                 1.6661,                0.90047,                  1.045,                0.79207,                0.68627,                0.77234,                0.30661,                 2.0434,                 1.0128,                   1.13,               0.000793,               0.000793,               0.000793
                     95,                 1.6496,                0.89266,                 1.0386,                0.77389,                0.70588,                0.77344,                0.30452,                 2.0582,                 1.0104,                 1.1323,               0.000694,               0.000694,               0.000694
                     96,                 1.6193,                 0.8885,                 1.0369,                0.75099,                 0.6978,                0.76435,                0.30116,                 2.0625,                 1.0029,                 1.1339,               0.000595,               0.000595,               0.000595
                     97,                 1.6192,                0.87567,                 1.0316,                0.73244,                0.72999,                0.76641,                0.30165,                 2.0758,                0.99992,                  1.138,               0.000496,               0.000496,               0.000496
                     98,                 1.6192,                0.87306,                 1.0321,                0.73967,                0.73725,                0.76233,                 0.2969,                 2.0906,                 1.0016,                 1.1433,               0.000397,               0.000397,               0.000397
                     99,                 1.6065,                0.87316,                 1.0171,                0.71269,                0.74118,                0.75398,                0.29843,                 2.0982,                 1.0038,                 1.1449,               0.000298,               0.000298,               0.000298
